key,value
deny,{killer_color}{killer}^* denied {victim_color}{victim}^*!
kill0,{killer_color}{killer}^* pwned {victim_color}{victim}^*'s head! for ^y{gold}^* gold!!
kill1,{killer_color}{killer}^* pwned {victim_color}{victim}^*'s head! for ^y{gold}^* gold!!
kill2,{killer_color}{killer}^* pwned {victim_color}{victim}^*'s head! for ^y{gold}^* gold!!
kill3,{killer_color}{killer}^* pwned {victim_color}{victim}^*'s head! for ^y{gold}^* gold!!
kill4,{killer_color}{killer}^* pwned {victim_color}{victim}^*'s head! for ^y{gold}^* gold!
first_kill,{killer_color}{killer}^* has ^rbloodlust^*! (^y+{gold}^* gold!)
first_kill_team,The {killer_color}{killer}^* have ^rbloodlust^*! (^y+{gold}^* gold is split!)
killstreak0,{killer_color}{killer}^* is a ^082serial killer^*!
killstreak1,{killer_color}{killer}^* is an ^204ultimate warrior^*!
killstreak2,{killer_color}{killer}^* is ^808legendary^*!
killstreak3,{killer_color}{killer}^* is on an ^840onslaught^*!
killstreak4,{killer_color}{killer}^* is ^440savage sick^*!!
killstreak5,{killer_color}{killer}^* is ^848dominating^*!!
killstreak6,{killer_color}{killer}^* is a ^800CHAMPION OF NEWERTH^*!!!
killstreak7,{killer_color}{killer}^* is on a ^840BLOODBATH^*! Someone KILL THEM!
killstreak8,{killer_color}{killer}^* is ^860IMMORTAL^*!!
streakend0,{killer} has just ended {victim}'s ^082serial killer^* streak for ^y{gold}^* gold!!
streakend1,{killer} has just ended {victim}'s ^204ultimate warrior^* streak for ^y{gold}^* gold!!
streakend2,{killer} has just ended {victim}'s ^808legendary^* streak for ^y{gold}^* gold!!
streakend3,{killer} has just ended {victim}'s ^840onslaught^* streak for ^y{gold}^* gold!!
streakend4,{killer} has just ended {victim}'s ^440savage sick^* streak for ^y{gold}^* gold!!
streakend5,{killer} has just ended {victim}'s ^848domination^* streak for ^y{gold}^* gold!!
streakend6,{killer} has just ended {victim}'s ^800CHAMPION OF NEWERTH^* streak for ^y{gold}^* gold!!
streakend7,{killer} has just ended {victim}'s ^840BLOODBATH^* streak for ^y{gold}^* gold!!
streakend8,{killer} has just ended {victim}'s ^860IMMORTAL^* streak for ^y{gold}^* gold!!
multikill0,{killer} just got a ^008Double Tap^*!
multikill1,{killer} just got a ^084Hat-trick^*!!!
multikill2,{killer} just got a ^084Quad Kill^*!!!
multikill3,{killer} has ^084ANNIHILATED^* their opponents!!!
killtower,{killer} has destroyed a {ping_tile} tower.\n{reward} are awarded ^y{gold}g^*
denytower,{player} has ^444denied^* a {ping_tile} tower!
killmeleerax,The {victim}'s {ping_tile} ^724Melee^* Barracks has been destroyed
killrangedrax,The {victim}'s {ping_tile} ^266Ranged^* Barracks has been destroyed
killcourier,{victim}'s courier has been killed by {killer}!
boughtwalkingcourier,{player_color}{player}^* has bought a walking courier.
boughtflyingcourier,{player_color}{player}^* has bought a flying courier.
ping_target,{player_color}{player_hero_name}^*: {mode}{unit_team_color}{unit_name}^* now!
ping_ext_building_attack,{player_color}{player_hero_name}^*: Attack {unit_team_color}{tower_location}{tower_tier}^* at ^g{current_health}/{max_health}^* HP {backdoor_protected}
ping_ext_building_defend,{player_color}{player_hero_name}^*: Defend {unit_team_color}{tower_location}{tower_tier}^* at ^g{current_health}/{max_health}^* HP {backdoor_protected}
ping_ext_hero_attack,{player_color}{player_hero_name}^*: Attack {unit_team_color}{unit_name}^* at {ping_tile}
ping_ext_hero_get_back,{player_color}{player_hero_name}^*: Get back from {unit_team_color}{unit_name}^* at {ping_tile}
ping_ext_hero_missing,{player_color}{player_hero_name}^*: {unit_color}{unit_name}^* is missing
ping_ext_hero_coming_to_gank,{player_color}{player_hero_name}^*: Coming to gank {unit_team_color}{unit_name}^* at {ping_tile}
ping_ext_rune_present,{player_color}{player_hero_name}^*: ^g{unit_name}^* is available here
